Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Protein digestion and absorption Homo sapiens hsa04974,0.6630666338940279,1.7972871710182732,0.0,0.06251931396786156,0.06,25/79,10.39%,COL14A1;COL3A1;COL5A2;COL6A3;COL1A2;KCNK5;SLC1A5;COL1A1;COL17A1;COL5A1;DPP4;COL11A1;COL5A3;COL6A2;ELN;ATP1A4;ATP1A3;ATP1A1;COL12A1;PRCP;COL6A1;COL15A1;COL9A3;COL2A1;SLC16A10
prerank,Pentose and glucuronate interconversions Homo sapiens hsa00040,0.7052373938523268,1.6482097012113832,0.007389162561576354,0.3885815822002473,0.509,4/23,5.79%,AKR1B1;UGDH;UGP2;ALDH3A2
prerank,Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520,0.6279497000225853,1.6232425906930175,0.006607929515418502,0.3645356922126082,0.616,9/45,11.24%,GFPT2;UAP1;UGDH;UGP2;GFPT1;GNPNAT1;NAGK;GALK1;GMPPB
prerank,Graft-versus-host disease Homo sapiens hsa05332,0.7023431076895784,1.5719657526386575,0.020434227330779056,0.4958262515451175,0.829,2/17,2.59%,CD80;KIR3DL2
prerank,Malaria Homo sapiens hsa05144,0.6070805718394661,1.5687613613441285,0.012542759407069556,0.4124351050679852,0.841,14/42,17.74%,COMP;THBS3;LRP1;TGFB3;TGFB2;THBS4;CD81;GYPC;TLR4;ACKR1;IL6;HGF;SDC2;IL18
prerank,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,0.6734771344847692,1.5465228858778104,0.028785982478097622,0.4474138597033374,0.898,11/20,23.52%,CSGALNACT2;CHST12;CHST14;CHSY3;B3GAT3;XYLT1;CHPF;XYLT2;CHST7;CHPF2;UST
prerank,Fatty acid biosynthesis Homo sapiens hsa00061,-0.5653254521749459,-1.533653879760803,0.04411764705882353,0.9248085758039817,0.456,5/13,12.61%,ACSL1;ACSL4;ACSL3;ACACB;ACSL6
prerank,Phototransduction Homo sapiens hsa04744,0.6513523502832895,1.5249625045890878,0.03194103194103194,0.49026134557654955,0.938,5/21,13.75%,RCVRN;CNGB1;SAG;CALM2;GNB1
prerank,Galactose metabolism Homo sapiens hsa00052,0.6187305004152207,1.5175223741021115,0.030156815440289506,0.4615608583127318,0.95,8/27,16.39%,AKR1B1;PFKP;UGP2;B4GALT1;GALK1;GLA;GAA;G6PC3
prerank,Vasopressin-regulated water reabsorption Homo sapiens hsa04962,0.5853567904620982,1.5139983677906568,0.029988465974625143,0.427161876802637,0.952,15/40,18.55%,GNAS;CREB5;DCTN1;DYNC1LI2;CREB3L1;DYNC1LI1;DYNC1I1;STX4;DYNC1H1;NSF;DYNC2LI1;RAB5B;RAB5C;DYNC2H1;VAMP2
prerank,Hematopoietic cell lineage Homo sapiens hsa04640,0.5569903213934035,1.5060949283247704,0.0031847133757961785,0.41695573238566125,0.967,16/70,14.87%,CD34;IL4R;CD55;CD9;CD44;ITGB3;ANPEP;ITGA2;ITGA5;FLT3LG;CSF2RA;FLT3;IL5;CR2;IL4;CD14
prerank,ECM-receptor interaction Homo sapiens hsa04512,0.5332316819535462,1.4592447011395813,0.014598540145985401,0.6003602932913811,0.996,21/81,10.15%,COMP;COL6A3;COL1A2;TNXB;COL1A1;THBS3;ITGA11;SV2C;COL6A2;CD44;ITGB3;TNN;ITGA2;ITGA5;ITGB5;THBS4;COL6A1;ITGAV;COL9A3;COL2A1;CD47
prerank,Phagosome Homo sapiens hsa04145,0.5107076758379611,1.4388366747050345,0.00816326530612245,0.6655902348578492,0.997,34/119,17.57%,COMP;THBS3;NCF4;MRC2;RAB7B;ITGB3;DYNC1LI2;ATP6V0A2;ITGA2;ITGA5;ITGB5;COLEC11;SEC22B;THBS4;DYNC1LI1;DYNC1I1;TLR4;ITGAV;STX12;TUBB6;ATP6V1E1;ATP6AP1;TUBB4A;TUBA4A;CD14;ATP6V0A1;SEC61A1;DYNC1H1;ATP6V1D;ACTG1;ATP6V1B2;RAB5B;RAB5C;DYNC2H1
